Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19031450890,"Jun 23, 2026, 5:08:17 AM",Afternoon Run,Run,,2615,7.55,163.0,56,false,,Nike Pegasus 41,activities/20145643213.fit.gz,,,2615.0,2562.0,7557.5,4.02,2.95,47.8,50.4,4.4,44.8,14.6,0.0,,,,,163.0,145.0,,,378.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,7680.8,1782190800.0,3.0,12.3,10.3,9.5,0.83,1020.1,3.2,5.5,5.0,0.0,1782157647.0,1782190729.0,0.375,,25264816.0,0.0,1.0,0.93,30846.0,0.0,,,,,,2.89,267.5,,,,7300.0,0.0,,,,2.998,,,,,,,,,,,,|
19031450898,"Jun 23, 2026, 12:18:44 AM",Lunch Walk,Walk,,3544,4.66,110.0,5,false,,Nike Pegasus 41,activities/20145643256.fit.gz,,,3544.0,3138.0,4662.5,3.615,1.486,93.0,84.8,0.0,46.2,40.9,0.2,,,,,110.0,80.0,,,203.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,1782172800.0,3.0,12.1,8.5,8.6,0.79,1022.7,4.6,8.2,356.0,0.1,1782157641.0,1782190735.0,0.375,,25264816.0,0.58,5.0,0.67,17728.0,1.0,,,,,,1.316,115.5,,,,4988.0,0.0,,,,,,,,,,,,,,,,|
19020241409,"Jun 22, 2026, 12:47:53 AM",Lunch Walk,Walk,,3229,3.72,90.0,4,false,,Nike Pegasus 41,activities/20134288362.fit.gz,,,3229.0,2683.0,3726.4,2.32,1.389,15.4,20.0,3.6,11.8,31.4,-0.1,,,,,90.0,76.0,,,143.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1782086400.0,1.0,12.3,14.5,5.7,0.64,1027.1,1.6,3.3,123.0,0.0,1782071230.0,1782104320.0,0.25,,25264816.0,0.0,1.0,0.02,19982.0,2.0,,,,,,1.154,158.9,,,,4224.0,0.0,,,,,,,,,,,,,,,,|
19003051631,"Jun 20, 2026, 8:40:26 PM",Morning Run,Run,,7693,15.32,165.0,113,false,,Nike Pegasus 41,activities/20116767513.fit.gz,,,7693.0,6981.0,15325.0,4.74,2.195,556.0,573.8,120.2,448.0,41.6,-0.1,,,,,165.0,139.0,,,879.0,,,113.0,,,,,,,,,,,,,0.0,,1.0,17392.4,1781985600.0,3.0,11.3,10.8,10.7,0.96,1017.7,2.1,3.9,167.0,0.0,1781984797.0,1782017917.0,0.125,,25264816.0,0.97,5.0,0.83,7691.0,0.0,,,,,,1.992,10154.2,,,,17272.0,0.0,,,,2.491,,,,,,,,,,,,|
19003051448,"Jun 20, 2026, 1:54:23 AM",Afternoon Weight Training,Weight Training,,2701,0,129.0,6,false,,,activities/20116767477.fit.gz,,,2701.0,2701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,129.0,97.0,,,141.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
19003051480,"Jun 20, 2026, 1:29:25 AM",Afternoon Walk,Walk,,1490,1.29,114.0,3,false,,Nike Pegasus 41,activities/20116767482.fit.gz,,,1490.0,1329.0,1291.1,4.162,0.971,24.8,31.6,-8.6,16.6,49.8,-1.5,,,,,114.0,101.0,,,71.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1781917200.0,8.0,15.1,6.6,13.0,0.87,1017.5,12.5,20.7,335.0,0.0,1781898399.0,1781931488.0,0.125,,25264816.0,0.82,5.0,0.93,24569.0,1.0,,,,,,0.866,0.0,,,,1128.0,0.0,,,,,,,,,,,,,,,,""
18967259376,"Jun 18, 2026, 4:53:46 AM",Afternoon Run,Run,,3312,9.92,166.0,103,false,,Nike Pegasus 41,activities/20080437612.fit.gz,,,3312.0,3311.0,9924.3,4.04,2.997,75.6,74.8,0.0,46.4,48.6,0.0,,,,,166.0,152.0,,,497.0,,,103.0,,,,,,,,,,,,,0.0,,1.0,10144.5,1781755200.0,2.0,12.4,11.1,7.7,0.73,1010.9,2.5,4.8,200.0,0.0,1781725569.0,1781758675.0,0.125,,25264816.0,0.58,5.0,0.58,32115.0,0.0,,,,,,2.996,68.2,,,,9264.0,0.0,,,,3.064,,,,,,,,,,,,|
18967259344,"Jun 17, 2026, 12:40:38 AM",Lunch Walk,Walk,,3110,3.81,97.0,4,false,,Nike Pegasus 41,activities/20080437593.fit.gz,,,3110.0,2516.0,3813.4,2.333,1.516,8.4,7.8,3.8,10.2,46.2,0.0,,,,,97.0,79.0,,,133.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1781654400.0,1.0,14.4,14.8,8.1,0.66,1012.6,2.4,5.0,273.0,0.0,1781639153.0,1781672269.0,0.125,,25264816.0,0.0,1.0,0.32,30969.0,1.0,,,,,,1.226,163.6,,,,4368.0,0.0,,,,,,,,,,,,,,,,|
18967259332,"Jun 16, 2026, 12:36:18 AM",Lunch Walk,Walk,,3121,4.32,113.0,5,false,,Nike Pegasus 41,activities/20080437579.fit.gz,,,3121.0,2853.0,4328.9,2.413,1.517,77.8,80.6,4.6,46.0,32.4,-0.1,,,,,113.0,83.0,,,194.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,1781568000.0,3.0,10.4,4.6,5.2,0.7,1024.7,5.6,9.8,161.0,0.0,1781552724.0,1781585862.0,0.125,,25264816.0,0.94,5.0,0.9,38248.0,1.0,,,,,,1.387,0.0,,,,4120.0,0.0,,,,,,,,,,,,,,,,|
18924107825,"Jun 15, 2026, 12:35:03 AM",Lunch Walk,Walk,,844,0.74,83.0,0,false,,Nike Pegasus 41,activities/20036690912.fit.gz,,,844.0,536.0,745.7,2.187,1.391,15.6,19.0,3.6,12.8,34.1,-0.5,,,,,83.0,71.0,,,30.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,1781481600.0,8.0,16.4,12.5,12.1,0.76,1020.3,8.7,15.3,324.0,0.0,1781466309.0,1781499456.0,0.875,,25264816.0,0.95,5.0,0.22,27646.0,2.0,,,,,,0.884,0.0,,,,26.0,0.0,,,,,,,,,,,,,,,,|
18873924946,"Jun 11, 2026, 4:55:40 AM",Afternoon Run,Run,,3129,9.64,174.0,109,false,,Nike Pegasus 41,activities/19985723049.fit.gz,,,3129.0,3109.0,9643.8,4.487,3.102,27.0,25.8,5.2,11.0,6.5,0.0,,,,,174.0,156.0,,,463.0,,,109.0,,,,,,,,,,,,,0.0,,1.0,9691.5,1781150400.0,2.0,12.6,8.9,9.1,0.79,1032.2,4.6,7.6,9.0,0.0,1781120594.0,1781153873.0,0.875,,25264816.0,0.0,1.0,0.54,14572.0,0.0,,,,,,3.082,172.0,,,,8776.0,0.0,,,,3.117,,,,,,,,,,,,|
18863072576,"Jun 10, 2026, 12:18:56 AM",Lunch Walk,Walk,,2849,3.99,84.0,4,false,,Nike Pegasus 41,activities/19974694269.fit.gz,,,2849.0,2437.0,3993.1,3.02,1.639,57.2,61.2,4.4,47.2,43.9,-0.1,,,,,84.0,79.0,,,158.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1781049600.0,2.0,13.8,11.0,7.1,0.64,1034.4,4.5,9.5,195.0,0.0,1781034158.0,1781067479.0,0.875,,25264816.0,0.0,1.0,0.46,32663.0,2.0,,,,,,1.402,114.7,,,,4180.0,0.0,,,,,,,,,,,,,,,,|
18846632488,"Jun 9, 2026, 5:20:41 AM",Afternoon Weight Training,Weight Training,,1644,0,118.0,3,false,,,activities/19957959966.fit.gz,,,1644.0,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,118.0,83.0,,,81.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18846632478,"Jun 9, 2026, 4:57:45 AM",Afternoon Walk,Walk,,1186,1.29,107.0,3,false,,Nike Pegasus 41,activities/19957959969.fit.gz,,,1186.0,1186.0,1292.3,1.88,1.09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,107.0,98.0,,,65.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,25264816.0,,,,,,,,,,,1.09,0.0,,,,1150.0,0.0,,,,,,,,,,,,,,,,""
18842282538,"Jun 8, 2026, 12:37:53 AM",Lunch Walk,Walk,,3142,4.10,106.0,4,false,,Nike Pegasus 41,activities/19953526673.fit.gz,,,3142.0,2676.0,4108.5,8.187,1.535,45.6,47.4,4.0,46.4,17.9,-0.1,,,,,106.0,80.0,,,152.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1780876800.0,2.0,16.4,13.9,10.5,0.68,1011.8,4.8,9.9,339.0,0.0,1780861290.0,1780894699.0,0.625,,25264816.0,0.52,5.0,0.54,30606.0,1.0,,,,,,1.308,406.7,,,,3896.0,0.0,,,,,,,,,,,,,,,,|
18764457228,"Jun 3, 2026, 1:36:56 AM",Afternoon Walk,Walk,,2504,3.14,79.0,2,false,,Nike Pegasus 41,activities/19874269837.fit.gz,,,2504.0,2122.0,3146.5,2.367,1.483,7.8,17.2,1.6,16.2,29.6,-0.3,,,,,79.0,71.0,,,108.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,1780448400.0,3.0,14.4,13.8,11.4,0.82,1009.7,2.2,4.6,174.0,0.0,1780429095.0,1780462783.0,0.625,,25264816.0,0.72,5.0,0.79,25856.0,1.0,,,,,,1.257,353.1,,,,1956.0,0.0,,,,,,,,,,,,,,,,""
18751704682,"Jun 2, 2026, 6:00:16 AM",Evening Run,Run,,2435,7.11,155.0,29,false,,Nike Pegasus 41,activities/19861321809.fit.gz,,,2435.0,2369.0,7110.2,4.48,3.001,76.0,83.2,0.0,52.6,20.3,-0.1,,,,,155.0,134.0,,,361.0,,,29.0,,,,,,,,,,,,,0.0,,1.0,7296.3,1780380000.0,2.0,14.9,10.4,13.6,0.92,1002.6,6.1,11.0,347.0,0.0,1780342652.0,1780376406.0,0.625,,25264816.0,0.98,5.0,0.6,23645.0,0.0,,,,,,2.92,86.6,,,,6670.0,0.0,,,,3.08,,,,,,,,,,,,""
18749729412,"Jun 2, 2026, 12:28:48 AM",Lunch Walk,Walk,,3026,3.60,89.0,3,false,,Nike Pegasus 41,activities/19859299980.fit.gz,,,3026.0,2509.0,3608.2,4.043,1.438,23.8,17.2,0.0,9.0,38.3,0.2,,,,,89.0,71.0,,,130.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1780358400.0,5.0,16.5,11.6,14.6,0.89,1003.2,6.6,10.2,357.0,0.3,1780342642.0,1780376392.0,0.625,,25264816.0,0.92,5.0,0.98,17204.0,2.0,,,,,,1.192,271.2,,,,3746.0,0.0,,,,,,,,,,,,,,,,""
18708504718,"May 29, 2026, 9:03:22 PM",Morning Run,Run,,9588,18.16,179.0,147,false,,Nike Pegasus 41,activities/19817268514.fit.gz,,,9588.0,9149.0,18166.2,3.82,1.986,753.6,783.8,124.6,449.8,42.1,-0.2,,,,,179.0,142.0,,,1112.0,,,147.0,,,,,,,,,,,,,0.0,,1.0,21503.8,1780088400.0,1.0,9.8,9.9,7.9,0.88,1025.0,2.2,4.4,8.0,0.0,1780083298.0,1780117296.0,0.375,,25264816.0,0.0,1.0,0.37,26232.0,0.0,,,,,,1.895,13914.4,,,,20420.0,0.0,,,,2.35,,,,,,,,,,,,""
18684507846,"May 28, 2026, 4:45:27 AM",Afternoon Run,Run,,1759,5.65,164.0,64,false,,Nike Pegasus 41,activities/19792828660.fit.gz,,,1759.0,1706.0,5649.2,5.88,3.311,13.2,19.6,1.2,11.4,10.6,-0.1,,,,,164.0,157.0,,,273.0,,,64.0,,,,,,,,,,,,,0.0,,1.0,5754.3,1779940800.0,1.0,14.0,12.0,10.2,0.78,1021.5,3.7,5.7,152.0,0.0,1779910423.0,1779944549.0,0.375,,25264816.0,0.64,5.0,0.37,15322.0,0.0,,,,,,3.212,98.6,,,,5018.0,0.0,,,,3.373,,,,,,,,,,,,""
18669186501,"May 27, 2026, 12:27:02 AM",Lunch Walk,Walk,,3320,4.11,97.0,4,false,,Nike Pegasus 41,activities/19777221002.fit.gz,,,3320.0,2826.0,4114.0,6.097,1.456,50.8,49.0,0.0,46.0,48.9,-0.1,,,,,97.0,75.0,,,158.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1779840000.0,2.0,13.9,10.9,9.2,0.73,1028.5,4.9,8.8,339.0,0.0,1779823971.0,1779858185.0,0.375,,25264816.0,0.0,1.0,0.54,15974.0,2.0,,,,,,1.239,156.3,,,,4778.0,0.0,,,,,,,,,,,,,,,,""
18657204426,"May 26, 2026, 4:47:01 AM",Afternoon Run,Run,,5489,16.21,159.0,131,false,,Nike Pegasus 41,activities/19765028816.fit.gz,,,5489.0,5358.0,16215.8,4.38,3.026,123.6,128.6,5.2,46.8,15.7,0.0,,,,,159.0,147.0,,,815.0,,,131.0,,,,,,,,,,,,,0.0,,1.0,16443.1,1779768000.0,2.0,14.0,9.7,9.5,0.74,1027.6,5.9,10.8,159.0,0.0,1779737525.0,1779771822.0,0.375,,25264816.0,0.0,1.0,0.46,27842.0,0.0,,,,,,2.954,550.6,,,,15258.0,0.0,,,,3.069,,,,,,,,,,,,""
18655465344,"May 26, 2026, 12:21:28 AM",Lunch Walk,Walk,,2790,3.62,86.0,3,false,,Nike Pegasus 41,activities/19763253406.fit.gz,,,2790.0,2442.0,3625.7,2.353,1.485,16.4,19.2,0.0,13.0,47.6,-0.1,,,,,86.0,74.0,,,120.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1779753600.0,1.0,15.1,15.0,10.9,0.76,1026.2,3.0,5.7,191.0,0.0,1779737523.0,1779771820.0,0.375,,25264816.0,0.0,1.0,0.36,27161.0,2.0,,,,,,1.3,151.4,,,,3978.0,0.0,,,,,,,,,,,,,,,,""
18641972664,"May 25, 2026, 12:35:27 AM",Lunch Walk,Walk,,2694,3.45,112.0,3,false,,Nike Pegasus 41,activities/19749497652.fit.gz,,,2694.0,2359.0,3454.4,2.453,1.464,36.8,38.2,5.6,33.2,28.6,0.0,,,,,112.0,78.0,,,143.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1779667200.0,1.0,13.1,9.5,8.1,0.72,1027.1,6.7,9.4,351.0,0.0,1779651069.0,1779685456.0,0.375,,25264816.0,0.0,1.0,0.15,14687.0,2.0,,,,,,1.282,64.4,,,,2784.0,0.0,,,,,,,,,,,,,,,,""
